Bin ID,Fullness,fullnessThreshold,timestamp,reason
1510830,0,6,13-08-2018,NOT_READY
1511190,4,8,13-08-2018,NOT_READY
1511191,0,8,13-08-2018,NOT_READY
1511192,0,8,13-08-2018,NOT_READY
1511193,4,8,13-08-2018,NOT_READY
1511194,6,8,13-08-2018,NOT_READY
1511195,0,8,13-08-2018,NOT_READY
1511196,4,8,13-08-2018,NOT_READY
1511197,0,8,13-08-2018,NOT_READY
1511198,6,8,13-08-2018,NOT_READY
1511199,6,8,13-08-2018,NOT_READY
1511200,0,8,13-08-2018,NOT_READY
1511201,0,8,13-08-2018,NOT_READY
1511203,0,8,13-08-2018,NOT_READY
1511204,2,8,13-08-2018,NOT_READY
1511205,0,8,13-08-2018,NOT_READY
1511206,2,8,13-08-2018,NOT_READY
1511207,0,8,13-08-2018,NOT_READY
1511208,4,8,13-08-2018,NOT_READY
1511209,2,8,13-08-2018,NOT_READY
1511210,0,8,13-08-2018,NOT_READY
1511211,0,8,13-08-2018,NOT_READY
1511212,0,8,13-08-2018,NOT_READY
1511213,0,8,13-08-2018,NOT_READY
1511214,0,8,13-08-2018,NOT_READY
1511215,2,8,13-08-2018,NOT_READY
1511216,0,8,13-08-2018,NOT_READY
1511217,0,8,13-08-2018,NOT_READY
1511218,4,8,13-08-2018,NOT_READY
1511219,10,8,13-08-2018,FULLNESS
1511220,0,8,13-08-2018,NOT_READY
1511221,0,8,13-08-2018,NOT_READY
1510830,0,6,14-08-2018,NOT_READY
1511190,8,8,14-08-2018,FULLNESS
1511191,2,8,14-08-2018,NOT_READY
1511192,0,8,14-08-2018,NOT_READY
1511193,4,8,14-08-2018,NOT_READY
1511194,8,8,14-08-2018,FULLNESS
1511195,0,8,14-08-2018,NOT_READY
1511196,8,8,14-08-2018,FULLNESS
1511197,0,8,14-08-2018,NOT_READY
1511198,8,8,14-08-2018,FULLNESS
1511199,8,8,14-08-2018,FULLNESS
1511200,0,8,14-08-2018,NOT_READY
1511201,0,8,14-08-2018,NOT_READY
1511203,0,8,14-08-2018,NOT_READY
1511204,4,8,14-08-2018,NOT_READY
1511205,0,8,14-08-2018,NOT_READY
1511206,6,8,14-08-2018,NOT_READY
1511207,0,8,14-08-2018,NOT_READY
1511208,6,8,14-08-2018,NOT_READY
1511209,4,8,14-08-2018,NOT_READY
1511210,0,8,14-08-2018,NOT_READY
1511211,4,8,14-08-2018,NOT_READY
1511212,8,8,14-08-2018,FULLNESS
1511213,0,8,14-08-2018,NOT_READY
1510830,0,6,18-08-2018,NOT_READY
1511190,6,8,18-08-2018,NOT_READY
1511191,0,8,18-08-2018,NOT_READY
1511192,8,8,18-08-2018,FULLNESS
1511193,8,8,18-08-2018,FULLNESS
1511194,0,8,18-08-2018,NOT_READY
1511195,0,8,18-08-2018,NOT_READY
1511196,0,8,18-08-2018,NOT_READY
1510830,6,6,26-06-2018,FULLNESS
1511190,8,8,26-06-2018,FULLNESS
1511191,0,8,26-06-2018,NOT_READY
1511192,8,8,26-06-2018,FULLNESS
1511193,6,8,26-06-2018,NOT_READY
1511194,0,8,26-06-2018,ALERT
1511195,0,8,26-06-2018,NOT_READY
